Date,Start,Visitor/Neutral,Home/Neutral
Thu Jan 6 2022,7:30p,Boston Celtics,New York Knicks
Thu Jan 6 2022,8:00p,Detroit Pistons,Memphis Grizzlies
Thu Jan 6 2022,8:00p,Golden State Warriors,New Orleans Pelicans
Thu Jan 6 2022,10:00p,Los Angeles Clippers,Phoenix Suns
Fri Jan 7 2022,7:00p,San Antonio Spurs,Philadelphia 76ers
Fri Jan 7 2022,7:30p,Milwaukee Bucks,Brooklyn Nets
Fri Jan 7 2022,7:30p,Utah Jazz,Toronto Raptors
Fri Jan 7 2022,8:00p,Washington Wizards,Chicago Bulls
Fri Jan 7 2022,8:00p,Dallas Mavericks,Houston Rockets
Fri Jan 7 2022,8:00p,Minnesota Timberwolves,Oklahoma City Thunder
Fri Jan 7 2022,9:00p,Sacramento Kings,Denver Nuggets
Fri Jan 7 2022,10:00p,Atlanta Hawks,Los Angeles Lakers
Fri Jan 7 2022,10:00p,Cleveland Cavaliers,Portland Trail Blazers
Sat Jan 8 2022,3:30p,Memphis Grizzlies,Los Angeles Clippers
Sat Jan 8 2022,7:00p,Milwaukee Bucks,Charlotte Hornets
Sat Jan 8 2022,7:00p,Orlando Magic,Detroit Pistons
Sat Jan 8 2022,7:00p,Utah Jazz,Indiana Pacers
Sat Jan 8 2022,7:30p,New York Knicks,Boston Celtics
Sat Jan 8 2022,9:00p,Miami Heat,Phoenix Suns
Sun Jan 9 2022,3:30p,Atlanta Hawks,Los Angeles Clippers
Sun Jan 9 2022,6:00p,Washington Wizards,Orlando Magic
Sun Jan 9 2022,6:00p,New Orleans Pelicans,Toronto Raptors
Sun Jan 9 2022,7:00p,Minnesota Timberwolves,Houston Rockets
Sun Jan 9 2022,7:00p,Denver Nuggets,Oklahoma City Thunder
Sun Jan 9 2022,7:30p,San Antonio Spurs,Brooklyn Nets
Sun Jan 9 2022,7:30p,Chicago Bulls,Dallas Mavericks
Sun Jan 9 2022,8:30p,Cleveland Cavaliers,Golden State Warriors
Sun Jan 9 2022,9:00p,Sacramento Kings,Portland Trail Blazers
Sun Jan 9 2022,9:30p,Memphis Grizzlies,Los Angeles Lakers
Mon Jan 10 2022,7:00p,Milwaukee Bucks,Charlotte Hornets
Mon Jan 10 2022,7:00p,Utah Jazz,Detroit Pistons
Mon Jan 10 2022,7:30p,Indiana Pacers,Boston Celtics
Mon Jan 10 2022,7:30p,San Antonio Spurs,New York Knicks
Mon Jan 10 2022,10:00p,Cleveland Cavaliers,Sacramento Kings
Tue Jan 11 2022,7:00p,Oklahoma City Thunder,Washington Wizards
Tue Jan 11 2022,7:30p,Phoenix Suns,Toronto Raptors
Tue Jan 11 2022,8:00p,Golden State Warriors,Memphis Grizzlies
Tue Jan 11 2022,8:00p,Minnesota Timberwolves,New Orleans Pelicans
Tue Jan 11 2022,10:30p,Denver Nuggets,Los Angeles Clippers
Wed Jan 12 2022,7:00p,Phoenix Suns,Detroit Pistons
Wed Jan 12 2022,7:00p,Boston Celtics,Indiana Pacers
Wed Jan 12 2022,7:00p,Charlotte Hornets,Philadelphia 76ers
Wed Jan 12 2022,7:00p,Orlando Magic,Washington Wizards
Wed Jan 12 2022,7:30p,Miami Heat,Atlanta Hawks
Wed Jan 12 2022,7:30p,Dallas Mavericks,New York Knicks
Wed Jan 12 2022,8:30p,Houston Rockets,San Antonio Spurs
Wed Jan 12 2022,9:00p,Cleveland Cavaliers,Utah Jazz
Wed Jan 12 2022,10:00p,Brooklyn Nets,Chicago Bulls
Wed Jan 12 2022,10:00p,Los Angeles Lakers,Sacramento Kings
Thu Jan 13 2022,7:30p,Golden State Warriors,Milwaukee Bucks
Thu Jan 13 2022,8:00p,Minnesota Timberwolves,Memphis Grizzlies
Thu Jan 13 2022,8:00p,Los Angeles Clippers,New Orleans Pelicans
Thu Jan 13 2022,8:30p,Oklahoma City Thunder,Brooklyn Nets
Thu Jan 13 2022,10:00p,Portland Trail Blazers,Denver Nuggets
Fri Jan 14 2022,7:00p,Orlando Magic,Charlotte Hornets
Fri Jan 14 2022,7:00p,Toronto Raptors,Detroit Pistons
Fri Jan 14 2022,7:00p,Phoenix Suns,Indiana Pacers
Fri Jan 14 2022,7:30p,Boston Celtics,Philadelphia 76ers
Fri Jan 14 2022,8:00p,Golden State Warriors,Chicago Bulls
Fri Jan 14 2022,8:00p,Atlanta Hawks,Miami Heat
Fri Jan 14 2022,8:30p,Cleveland Cavaliers,San Antonio Spurs
Fri Jan 14 2022,10:00p,Dallas Mavericks,Memphis Grizzlies
Fri Jan 14 2022,10:00p,Houston Rockets,Sacramento Kings
Sat Jan 15 2022,6:30p,Toronto Raptors,Milwaukee Bucks
Sat Jan 15 2022,7:00p,Portland Trail Blazers,Washington Wizards
Sat Jan 15 2022,7:30p,New York Knicks,Atlanta Hawks
Sat Jan 15 2022,7:30p,New Orleans Pelicans,Brooklyn Nets
Sat Jan 15 2022,8:00p,Philadelphia 76ers,Miami Heat
Sat Jan 15 2022,8:00p,Cleveland Cavaliers,Oklahoma City Thunder
Sat Jan 15 2022,8:30p,Chicago Bulls,Boston Celtics
Sat Jan 15 2022,8:30p,Los Angeles Clippers,San Antonio Spurs
Sat Jan 15 2022,9:00p,Los Angeles Lakers,Denver Nuggets
Sat Jan 15 2022,9:30p,Orlando Magic,Dallas Mavericks
Sun Jan 16 2022,6:00p,Houston Rockets,Sacramento Kings
Sun Jan 16 2022,8:00p,Utah Jazz,Denver Nuggets
Sun Jan 16 2022,8:00p,Golden State Warriors,Minnesota Timberwolves
Mon Jan 17 2022,12:30p,New Orleans Pelicans,Boston Celtics
Mon Jan 17 2022,1:00p,Charlotte Hornets,New York Knicks
Mon Jan 17 2022,2:00p,Philadelphia 76ers,Washington Wizards
Mon Jan 17 2022,3:00p,Brooklyn Nets,Cleveland Cavaliers
Mon Jan 17 2022,3:30p,Indiana Pacers,Los Angeles Clippers
Mon Jan 17 2022,3:30p,Chicago Bulls,Memphis Grizzlies
Mon Jan 17 2022,6:00p,Milwaukee Bucks,Atlanta Hawks
Mon Jan 17 2022,7:00p,Portland Trail Blazers,Orlando Magic
Mon Jan 17 2022,7:30p,Toronto Raptors,Miami Heat
Mon Jan 17 2022,8:30p,Oklahoma City Thunder,Dallas Mavericks
Mon Jan 17 2022,8:30p,Phoenix Suns,San Antonio Spurs
Mon Jan 17 2022,10:30p,Utah Jazz,Los Angeles Lakers
Tue Jan 18 2022,7:30p,Minnesota Timberwolves,New York Knicks
Tue Jan 18 2022,10:00p,Detroit Pistons,Golden State Warriors
Wed Jan 19 2022,7:00p,Orlando Magic,Philadelphia 76ers
Wed Jan 19 2022,7:00p,Brooklyn Nets,Washington Wizards
Wed Jan 19 2022,7:30p,Minnesota Timberwolves,Atlanta Hawks
Wed Jan 19 2022,7:30p,Charlotte Hornets,Boston Celtics
Wed Jan 19 2022,7:30p,Portland Trail Blazers,Miami Heat
Wed Jan 19 2022,8:00p,Cleveland Cavaliers,Chicago Bulls
Wed Jan 19 2022,8:00p,Memphis Grizzlies,Milwaukee Bucks
Wed Jan 19 2022,8:30p,Toronto Raptors,Dallas Mavericks
Wed Jan 19 2022,8:30p,Oklahoma City Thunder,San Antonio Spurs
Wed Jan 19 2022,9:00p,Houston Rockets,Utah Jazz
Wed Jan 19 2022,10:00p,Los Angeles Clippers,Denver Nuggets
